'sample interval','Fx','Fy','Fz','Mx','My','Mz','COPx','COPy'
40,-3.203,-1.713,-5.565,-1.24,-9.507,-0.282,1.562,-0.23
41,-3.221,-1.627,-4.631,-1.191,-9.458,-0.281,1.562,-0.221
42,-3.237,-1.564,-3.922,-1.145,-9.408,-0.278,1.56,-0.212
43,-3.254,-1.526,-3.463,-1.104,-9.361,-0.275,1.555,-0.204
44,-3.276,-1.507,-3.26,-1.069,-9.326,-0.275,1.551,-0.198
45,-3.309,-1.5,-3.299,-1.04,-9.307,-0.276,1.547,-0.192
46,-3.356,-1.497,-3.558,-1.02,-9.309,-0.28,1.545,-0.189
47,-3.417,-1.494,-4.008,-1.008,-9.331,-0.282,1.545,-0.187
48,-3.488,-1.492,-4.61,-1.006,-9.371,-0.283,1.546,-0.186
49,-3.563,-1.495,-5.318,-1.012,-9.426,-0.282,1.549,-0.188
50,-3.634,-1.505,-6.065,-1.024,-9.489,-0.28,1.554,-0.19
51,-3.69,-1.519,-6.772,-1.037,-9.558,-0.28,1.56,-0.193
52,-3.723,-1.533,-7.358,-1.048,-9.629,-0.283,1.567,-0.195
53,-3.726,-1.539,-7.751,-1.053,-9.702,-0.289,1.577,-0.196
54,-3.696,-1.532,-7.907,-1.048,-9.775,-0.299,1.589,-0.195
55,-3.631,-1.511,-7.821,-1.035,-9.852,-0.308,1.604,-0.193
56,-3.537,-1.48,-7.525,-1.013,-9.935,-0.316,1.623,-0.189
57,-3.419,-1.446,-7.084,-0.984,-10.027,-0.32,1.644,-0.183
58,-3.287,-1.414,-6.583,-0.947,-10.127,-0.32,1.667,-0.176
59,-3.15,-1.39,-6.112,-0.903,-10.234,-0.316,1.692,-0.168
60,-3.016,-1.371,-5.756,-0.851,-10.346,-0.312,1.716,-0.158
61,-2.89,-1.354,-5.581,-0.79,-10.456,-0.31,1.738,-0.147
62,-2.776,-1.329,-5.628,-0.721,-10.56,-0.311,1.757,-0.134
63,-2.68,-1.289,-5.904,-0.648,-10.652,-0.317,1.771,-0.12
64,-2.607,-1.226,-6.386,-0.574,-10.73,-0.326,1.782,-0.107
65,-2.564,-1.141,-7.018,-0.5,-10.793,-0.337,1.787,-0.093
66,-2.558,-1.039,-7.73,-0.431,-10.837,-0.346,1.789,-0.08
67,-2.592,-0.933,-8.438,-0.366,-10.863,-0.351,1.787,-0.068
68,-2.664,-0.84,-9.057,-0.308,-10.87,-0.351,1.783,-0.058
69,-2.764,-0.773,-9.505,-0.258,-10.86,-0.345,1.776,-0.048
70,-2.879,-0.743,-9.71,-0.218,-10.834,-0.335,1.77,-0.041
71,-2.993,-0.752,-9.622,-0.187,-10.795,-0.324,1.763,-0.035
72,-3.092,-0.79,-9.217,-0.166,-10.749,-0.314,1.758,-0.031
73,-3.168,-0.844,-8.515,-0.151,-10.698,-0.309,1.756,-0.028
74,-3.219,-0.895,-7.572,-0.138,-10.648,-0.308,1.755,-0.026
75,-3.247,-0.927,-6.476,-0.125,-10.604,-0.313,1.757,-0.023
76,-3.26,-0.928,-5.334,-0.108,-10.569,-0.322,1.761,-0.02
77,-3.27,-0.897,-4.248,-0.087,-10.548,-0.332,1.768,-0.016
78,-3.283,-0.84,-3.3,-0.062,-10.543,-0.341,1.776,-0.012
79,-3.304,-0.77,-2.543,-0.033,-10.559,-0.348,1.786,-0.006
80,-3.326,-0.7,-2.002,0.001,-10.6,-0.352,1.798,0
81,-3.339,-0.64,-1.68,0.041,-10.668,-0.353,1.814,0.008
82,-3.328,-0.597,-1.572,0.087,-10.768,-0.354,1.833,0.016
83,-3.278,-0.57,-1.673,0.137,-10.9,-0.356,1.856,0.025
84,-3.182,-0.557,-1.986,0.19,-11.062,-0.361,1.884,0.035
85,-3.041,-0.551,-2.517,0.243,-11.249,-0.368,1.913,0.045
86,-2.86,-0.544,-3.278,0.292,-11.452,-0.378,1.944,0.054
87,-2.65,-0.531,-4.268,0.338,-11.66,-0.39,1.973,0.063
88,-2.426,-0.504,-5.468,0.379,-11.863,-0.403,2,0.07
89,-2.206,-0.464,-6.829,0.417,-12.051,-0.414,2.023,0.078
90,-2.006,-0.41,-8.267,0.451,-12.217,-0.424,2.041,0.084
91,-1.843,-0.347,-9.675,0.483,-12.356,-0.432,2.055,0.09
92,-1.727,-0.282,-10.93,0.511,-12.467,-0.439,2.064,0.096
93,-1.663,-0.223,-11.911,0.533,-12.547,-0.447,2.071,0.1
94,-1.646,-0.177,-12.518,0.547,-12.599,-0.456,2.075,0.103
95,-1.662,-0.148,-12.684,0.551,-12.623,-0.467,2.078,0.104
96,-1.694,-0.139,-12.379,0.548,-12.623,-0.48,2.081,0.103
97,-1.726,-0.148,-11.619,0.538,-12.6,-0.495,2.083,0.101
98,-1.746,-0.169,-10.462,0.527,-12.559,-0.51,2.086,0.099
99,-1.753,-0.192,-9.006,0.516,-12.505,-0.524,2.089,0.096
100,-1.755,-0.21,-7.382,0.506,-12.444,-0.534,2.091,0.094
101,-1.766,-0.219,-5.735,0.495,-12.383,-0.54,2.094,0.092
102,-1.8,-0.219,-4.21,0.48,-12.327,-0.542,2.097,0.089
103,-1.866,-0.221,-2.925,0.459,-12.283,-0.538,2.101,0.085
104,-1.963,-0.234,-1.963,0.431,-12.258,-0.531,2.104,0.08
105,-2.08,-0.27,-1.369,0.399,-12.255,-0.521,2.109,0.074
106,-2.194,-0.332,-1.154,0.367,-12.277,-0.509,2.115,0.068
107,-2.282,-0.415,-1.313,0.338,-12.326,-0.496,2.122,0.062
108,-2.322,-0.509,-1.825,0.318,-12.4,-0.484,2.132,0.059
109,-2.306,-0.598,-2.658,0.306,-12.495,-0.474,2.142,0.056
110,-2.238,-0.665,-3.762,0.302,-12.604,-0.465,2.153,0.056
111,-2.131,-0.697,-5.066,0.302,-12.721,-0.46,2.163,0.056
112,-2.006,-0.69,-6.481,0.304,-12.838,-0.458,2.173,0.056
113,-1.877,-0.643,-7.903,0.303,-12.947,-0.46,2.181,0.057
114,-1.755,-0.566,-9.224,0.299,-13.041,-0.465,2.187,0.056
115,-1.645,-0.474,-10.346,0.287,-13.117,-0.471,2.191,0.054
116,-1.547,-0.385,-11.183,0.267,-13.171,-0.477,2.194,0.05
117,-1.459,-0.316,-11.676,0.235,-13.201,-0.481,2.196,0.044
118,-1.383,-0.284,-11.803,0.191,-13.207,-0.481,2.196,0.036
119,-1.322,-0.297,-11.579,0.131,-13.189,-0.477,2.194,0.025
120,-1.277,-0.354,-11.057,0.057,-13.15,-0.469,2.191,0.011
121,-1.253,-0.45,-10.311,-0.03,-13.093,-0.457,2.187,-0.006
122,-1.25,-0.567,-9.421,-0.127,-13.023,-0.444,2.182,-0.024
123,-1.268,-0.691,-8.463,-0.227,-12.943,-0.43,2.175,-0.042
124,-1.303,-0.806,-7.508,-0.323,-12.857,-0.415,2.167,-0.06
125,-1.355,-0.903,-6.619,-0.412,-12.767,-0.399,2.158,-0.077
126,-1.421,-0.979,-5.857,-0.494,-12.673,-0.384,2.147,-0.092
127,-1.506,-1.039,-5.274,-0.573,-12.574,-0.369,2.134,-0.106
128,-1.611,-1.092,-4.906,-0.657,-12.47,-0.357,2.118,-0.122
129,-1.739,-1.151,-4.76,-0.753,-12.359,-0.346,2.099,-0.14
130,-1.888,-1.223,-4.808,-0.864,-12.243,-0.338,2.077,-0.16
131,-2.05,-1.311,-4.994,-0.989,-12.125,-0.332,2.053,-0.183
132,-2.211,-1.411,-5.246,-1.124,-12.01,-0.327,2.03,-0.209
133,-2.354,-1.516,-5.496,-1.26,-11.907,-0.321,2.008,-0.234
134,-2.464,-1.615,-5.697,-1.389,-11.821,-0.313,1.99,-0.258
135,-2.531,-1.703,-5.831,-1.506,-11.756,-0.302,1.977,-0.28
136,-2.553,-1.778,-5.907,-1.609,-11.714,-0.289,1.969,-0.299
137,-2.531,-1.84,-5.954,-1.698,-11.692,-0.275,1.964,-0.315
138,-2.477,-1.895,-6.008,-1.774,-11.684,-0.263,1.962,-0.33
139,-2.398,-1.946,-6.104,-1.842,-11.683,-0.253,1.961,-0.342
140,-2.306,-1.997,-6.265,-1.903,-11.683,-0.248,1.96,-0.354
141,-2.206,-2.049,-6.497,-1.957,-11.68,-0.248,1.957,-0.364
142,-2.106,-2.101,-6.792,-2.004,-11.669,-0.251,1.952,-0.373
143,-2.009,-2.148,-7.121,-2.041,-11.653,-0.257,1.946,-0.38
144,-1.922,-2.184,-7.446,-2.067,-11.63,-0.265,1.939,-0.385
145,-1.848,-2.201,-7.722,-2.083,-11.601,-0.273,1.931,-0.388
146,-1.791,-2.195,-7.909,-2.094,-11.565,-0.281,1.923,-0.39
147,-1.754,-2.167,-7.985,-2.103,-11.521,-0.29,1.914,-0.392
148,-1.738,-2.127,-7.945,-2.117,-11.467,-0.3,1.904,-0.395
149,-1.746,-2.087,-7.808,-2.138,-11.399,-0.309,1.893,-0.399
150,-1.778,-2.062,-7.611,-2.166,-11.319,-0.317,1.88,-0.404
151,-1.829,-2.058,-7.397,-2.199,-11.227,-0.322,1.865,-0.41
152,-1.893,-2.077,-7.209,-2.23,-11.129,-0.324,1.848,-0.415
153,-1.962,-2.111,-7.074,-2.255,-11.028,-0.323,1.83,-0.42
154,-2.028,-2.152,-7.006,-2.269,-10.926,-0.318,1.812,-0.422
155,-2.092,-2.19,-7.005,-2.274,-10.825,-0.312,1.793,-0.423
156,-2.154,-2.217,-7.066,-2.27,-10.723,-0.305,1.774,-0.423
157,-2.221,-2.232,-7.184,-2.262,-10.617,-0.298,1.753,-0.421
158,-2.3,-2.236,-7.357,-2.254,-10.503,-0.293,1.73,-0.42
159,-2.395,-2.233,-7.585,-2.249,-10.379,-0.289,1.705,-0.419
160,-2.507,-2.228,-7.862,-2.248,-10.243,-0.287,1.677,-0.419
161,-2.629,-2.226,-8.168,-2.251,-10.094,-0.286,1.646,-0.42
162,-2.752,-2.227,-8.461,-2.255,-9.935,-0.287,1.614,-0.421
163,-2.864,-2.232,-8.682,-2.259,-9.766,-0.289,1.58,-0.422
164,-2.956,-2.239,-8.77,-2.259,-9.588,-0.289,1.546,-0.422
165,-3.021,-2.244,-8.675,-2.254,-9.405,-0.287,1.513,-0.421
166,-3.059,-2.246,-8.382,-2.242,-9.22,-0.28,1.481,-0.418
167,-3.077,-2.247,-7.918,-2.221,-9.033,-0.27,1.451,-0.414
168,-3.089,-2.252,-7.342,-2.191,-8.848,-0.256,1.422,-0.408
169,-3.111,-2.264,-6.734,-2.151,-8.666,-0.239,1.394,-0.4
170,-3.157,-2.284,-6.173,-2.102,-8.491,-0.223,1.367,-0.391
171,-3.236,-2.309,-5.712,-2.048,-8.324,-0.21,1.341,-0.38
172,-3.348,-2.327,-5.375,-1.992,-8.17,-0.202,1.316,-0.37
173,-3.482,-2.328,-5.16,-1.937,-8.031,-0.199,1.292,-0.359
174,-3.623,-2.3,-5.045,-1.887,-7.91,-0.2,1.271,-0.35
175,-3.753,-2.244,-5.005,-1.841,-7.806,-0.204,1.252,-0.341
176,-3.859,-2.165,-5.019,-1.796,-7.716,-0.208,1.235,-0.333
177,-3.933,-2.078,-5.071,-1.751,-7.639,-0.211,1.22,-0.325
178,-3.973,-1.998,-5.149,-1.7,-7.572,-0.212,1.207,-0.315
179,-3.981,-1.937,-5.245,-1.645,-7.515,-0.212,1.196,-0.305
180,-3.959,-1.898,-5.357,-1.585,-7.471,-0.211,1.186,-0.294
181,-3.912,-1.877,-5.484,-1.525,-7.441,-0.211,1.179,-0.283
182,-3.844,-1.861,-5.632,-1.466,-7.429,-0.212,1.175,-0.272
183,-3.76,-1.838,-5.804,-1.412,-7.436,-0.215,1.175,-0.262
184,-3.665,-1.797,-6.002,-1.362,-7.462,-0.22,1.178,-0.253
185,-3.562,-1.733,-6.226,-1.315,-7.502,-0.228,1.183,-0.244
186,-3.452,-1.647,-6.467,-1.267,-7.551,-0.237,1.19,-0.236
187,-3.334,-1.552,-6.717,-1.215,-7.604,-0.249,1.197,-0.226
188,-3.209,-1.461,-6.972,-1.158,-7.656,-0.261,1.204,-0.215
189,-3.077,-1.39,-7.229,-1.095,-7.703,-0.272,1.21,-0.204
190,-2.944,-1.35,-7.491,-1.03,-7.744,-0.281,1.215,-0.192
191,-2.82,-1.343,-7.759,-0.965,-7.778,-0.287,1.218,-0.18
192,-2.712,-1.362,-8.033,-0.902,-7.806,-0.289,1.221,-0.168
193,-2.627,-1.393,-8.308,-0.842,-7.826,-0.289,1.221,-0.157
194,-2.568,-1.419,-8.575,-0.786,-7.837,-0.288,1.221,-0.147
195,-2.53,-1.427,-8.819,-0.731,-7.838,-0.286,1.218,-0.137
196,-2.507,-1.409,-9.025,-0.677,-7.825,-0.284,1.214,-0.126
197,-2.493,-1.365,-9.166,-0.622,-7.796,-0.28,1.207,-0.116
198,-2.484,-1.303,-9.217,-0.566,-7.75,-0.274,1.198,-0.106
199,-2.482,-1.237,-9.153,-0.51,-7.687,-0.263,1.187,-0.095
200,-2.49,-1.18,-8.959,-0.454,-7.611,-0.247,1.175,-0.085
201,-2.51,-1.142,-8.642,-0.396,-7.524,-0.228,1.162,-0.074
202,-2.542,-1.126,-8.227,-0.336,-7.43,-0.209,1.149,-0.063
203,-2.581,-1.13,-7.749,-0.271,-7.333,-0.192,1.135,-0.051
204,-2.623,-1.144,-7.254,-0.198,-7.236,-0.18,1.123,-0.037
205,-2.66,-1.157,-6.788,-0.115,-7.139,-0.173,1.109,-0.021
206,-2.691,-1.159,-6.397,-0.021,-7.043,-0.17,1.096,-0.004
207,-2.718,-1.148,-6.128,0.084,-6.947,-0.17,1.081,0.016
208,-2.749,-1.122,-6.025,0.197,-6.85,-0.17,1.064,0.037
209,-2.791,-1.084,-6.115,0.318,-6.75,-0.171,1.044,0.059
210,-2.85,-1.038,-6.401,0.443,-6.645,-0.171,1.022,0.082
211,-2.929,-0.984,-6.856,0.572,-6.532,-0.172,0.996,0.107
212,-3.02,-0.919,-7.421,0.703,-6.409,-0.175,0.967,0.131
213,-3.117,-0.839,-8.021,0.835,-6.273,-0.182,0.935,0.156
214,-3.212,-0.745,-8.589,0.967,-6.123,-0.193,0.901,0.181
215,-3.304,-0.64,-9.073,1.099,-5.957,-0.209,0.864,0.205
216,-3.402,-0.531,-9.446,1.23,-5.77,-0.229,0.825,0.23
217,-3.517,-0.423,-9.705,1.359,-5.56,-0.252,0.783,0.254
218,-3.662,-0.321,-9.849,1.484,-5.325,-0.278,0.737,0.278
219,-3.845,-0.221,-9.876,1.605,-5.066,-0.306,0.689,0.3
220,-4.059,-0.118,-9.766,1.716,-4.787,-0.333,0.638,0.321
221,-4.287,-0.001,-9.486,1.814,-4.494,-0.357,0.586,0.339
222,-4.504,0.134,-8.994,1.894,-4.198,-0.377,0.536,0.354
223,-4.683,0.288,-8.263,1.956,-3.91,-0.391,0.491,0.365
224,-4.809,0.45,-7.29,2.001,-3.644,-0.397,0.453,0.373
225,-4.879,0.601,-6.117,2.034,-3.408,-0.395,0.423,0.378
226,-4.907,0.717,-4.833,2.061,-3.21,-0.389,0.402,0.382
227,-4.916,0.776,-3.568,2.086,-3.052,-0.38,0.387,0.386
228,-4.934,0.767,-2.465,2.113,-2.935,-0.37,0.379,0.39
229,-4.976,0.691,-1.654,2.137,-2.857,-0.362,0.374,0.394
230,-5.048,0.562,-1.22,2.156,-2.816,-0.355,0.372,0.397
231,-5.14,0.405,-1.196,2.163,-2.808,-0.348,0.37,0.398
232,-5.236,0.248,-1.566,2.157,-2.83,-0.341,0.37,0.397
233,-5.316,0.114,-2.281,2.136,-2.878,-0.331,0.37,0.394
234,-5.366,0.015,-3.275,2.103,-2.946,-0.318,0.371,0.389
235,-5.377,-0.047,-4.473,2.063,-3.029,-0.301,0.372,0.382
236,-5.348,-0.08,-5.791,2.018,-3.119,-0.282,0.373,0.375
237,-5.284,-0.096,-7.14,1.97,-3.212,-0.262,0.374,0.367
238,-5.187,-0.107,-8.421,1.922,-3.299,-0.245,0.375,0.359
239,-5.063,-0.122,-9.538,1.873,-3.374,-0.229,0.376,0.35
240,-4.915,-0.142,-10.405,1.824,-3.434,-0.218,0.377,0.342
241,-4.751,-0.167,-10.958,1.775,-3.474,-0.211,0.378,0.333
242,-4.578,-0.192,-11.167,1.727,-3.497,-0.207,0.379,0.324
243,-4.409,-0.213,-11.038,1.677,-3.503,-0.206,0.382,0.315
244,-4.257,-0.228,-10.614,1.625,-3.494,-0.206,0.386,0.305
245,-4.135,-0.239,-9.965,1.569,-3.475,-0.207,0.39,0.294
246,-4.052,-0.252,-9.182,1.506,-3.445,-0.206,0.393,0.282
247,-4.016,-0.275,-8.362,1.439,-3.405,-0.202,0.396,0.269
248,-4.028,-0.316,-7.595,1.367,-3.356,-0.194,0.396,0.255
249,-4.084,-0.379,-6.948,1.295,-3.298,-0.184,0.393,0.241
250,-4.18,-0.464,-6.456,1.227,-3.236,-0.173,0.387,0.228
251,-4.307,-0.568,-6.112,1.165,-3.174,-0.163,0.38,0.217
252,-4.455,-0.682,-5.873,1.111,-3.117,-0.155,0.372,0.206
253,-4.613,-0.796,-5.67,1.062,-3.072,-0.15,0.366,0.197
254,-4.768,-0.904,-5.434,1.015,-3.045,-0.147,0.364,0.188
255,-4.905,-1,-5.115,0.965,-3.041,-0.145,0.367,0.179
256,-5.01,-1.083,-4.705,0.91,-3.065,-0.144,0.376,0.169
257,-5.066,-1.151,-4.241,0.847,-3.122,-0.145,0.392,0.157
258,-5.062,-1.204,-3.802,0.779,-3.212,-0.149,0.414,0.144
259,-4.992,-1.24,-3.484,0.709,-3.337,-0.157,0.441,0.131
260,-4.859,-1.259,-3.374,0.641,-3.491,-0.172,0.471,0.119
261,-4.68,-1.26,-3.525,0.579,-3.671,-0.19,0.502,0.107
262,-4.475,-1.243,-3.938,0.525,-3.869,-0.21,0.534,0.097
263,-4.269,-1.214,-4.563,0.48,-4.081,-0.229,0.566,0.089
264,-4.079,-1.178,-5.316,0.442,-4.301,-0.242,0.598,0.082
265,-3.912,-1.145,-6.106,0.409,-4.526,-0.249,0.631,0.076
266,-3.766,-1.124,-6.856,0.377,-4.753,-0.249,0.665,0.07
267,-3.632,-1.126,-7.52,0.343,-4.979,-0.242,0.699,0.064
268,-3.5,-1.154,-8.084,0.306,-5.2,-0.232,0.734,0.057
269,-3.365,-1.207,-8.551,0.267,-5.411,-0.22,0.768,0.05
270,-3.227,-1.276,-8.926,0.225,-5.609,-0.21,0.801,0.042
271,-3.092,-1.346,-9.198,0.183,-5.791,-0.203,0.832,0.034
272,-2.965,-1.402,-9.339,0.144,-5.959,-0.2,0.862,0.027
273,-2.851,-1.434,-9.311,0.109,-6.114,-0.2,0.891,0.02
274,-2.747,-1.438,-9.083,0.081,-6.26,-0.202,0.921,0.015
275,-2.649,-1.418,-8.646,0.064,-6.403,-0.203,0.952,0.012
276,-2.549,-1.382,-8.029,0.058,-6.547,-0.204,0.986,0.011
277,-2.441,-1.34,-7.299,0.066,-6.693,-0.204,1.021,0.012
278,-2.322,-1.302,-6.553,0.083,-6.842,-0.203,1.057,0.015
279,-2.195,-1.272,-5.898,0.104,-6.992,-0.203,1.091,0.019
280,-2.063,-1.252,-5.432,0.121,-7.14,-0.205,1.124,0.023
281,-1.934,-1.243,-5.225,0.129,-7.285,-0.208,1.153,0.024
282,-1.812,-1.24,-5.305,0.123,-7.423,-0.212,1.178,0.023
283,-1.7,-1.24,-5.659,0.106,-7.556,-0.215,1.199,0.02
284,-1.598,-1.238,-6.233,0.08,-7.682,-0.217,1.216,0.015
285,-1.51,-1.231,-6.949,0.054,-7.801,-0.218,1.231,0.01
286,-1.437,-1.217,-7.716,0.031,-7.912,-0.22,1.244,0.006
287,-1.381,-1.198,-8.448,0.015,-8.011,-0.222,1.255,0.003
288,-1.345,-1.177,-9.072,0.008,-8.094,-0.225,1.264,0.001
289,-1.327,-1.155,-9.529,0.009,-8.159,-0.229,1.271,0.002
290,-1.324,-1.135,-9.773,0.02,-8.204,-0.234,1.277,0.004
291,-1.328,-1.117,-9.774,0.042,-8.232,-0.241,1.282,0.008
292,-1.33,-1.099,-9.521,0.076,-8.248,-0.249,1.288,0.014
293,-1.32,-1.078,-9.032,0.123,-8.259,-0.26,1.295,0.023
294,-1.288,-1.051,-8.362,0.179,-8.273,-0.273,1.304,0.033
295,-1.229,-1.016,-7.597,0.239,-8.294,-0.288,1.316,0.045
296,-1.144,-0.974,-6.844,0.299,-8.323,-0.304,1.329,0.056
297,-1.044,-0.925,-6.207,0.353,-8.358,-0.32,1.342,0.066
298,-0.946,-0.872,-5.763,0.398,-8.394,-0.334,1.353,0.074
299,-0.865,-0.816,-5.551,0.435,-8.425,-0.343,1.361,0.081
300,-0.816,-0.758,-5.57,0.466,-8.448,-0.345,1.365,0.087
301,-0.804,-0.702,-5.791,0.493,-8.461,-0.342,1.366,0.092
302,-0.826,-0.652,-6.171,0.517,-8.466,-0.333,1.363,0.096
303,-0.874,-0.619,-6.665,0.539,-8.465,-0.321,1.357,0.1
304,-0.936,-0.611,-7.23,0.558,-8.458,-0.307,1.35,0.104
305,-1.002,-0.633,-7.824,0.57,-8.446,-0.294,1.342,0.106
306,-1.063,-0.685,-8.399,0.576,-8.426,-0.284,1.333,0.108
307,-1.115,-0.754,-8.909,0.574,-8.392,-0.277,1.321,0.107
308,-1.159,-0.823,-9.305,0.563,-8.341,-0.274,1.307,0.105
309,-1.198,-0.871,-9.551,0.546,-8.268,-0.273,1.291,0.102
310,-1.238,-0.885,-9.626,0.525,-8.173,-0.275,1.273,0.098
311,-1.289,-0.858,-9.535,0.503,-8.054,-0.28,1.251,0.094
312,-1.362,-0.8,-9.308,0.485,-7.914,-0.287,1.228,0.091
313,-1.471,-0.726,-8.998,0.473,-7.753,-0.295,1.201,0.088
314,-1.63,-0.657,-8.667,0.468,-7.571,-0.302,1.17,0.087
315,-1.85,-0.609,-8.377,0.466,-7.369,-0.306,1.135,0.087
316,-2.136,-0.589,-8.174,0.463,-7.145,-0.305,1.096,0.086
317,-2.481,-0.597,-8.083,0.453,-6.899,-0.297,1.051,0.084
318,-2.867,-0.625,-8.1,0.428,-6.631,-0.282,1.001,0.08
319,-3.264,-0.662,-8.192,0.386,-6.344,-0.262,0.946,0.072
320,-3.639,-0.699,-8.297,0.323,-6.043,-0.24,0.889,0.06
321,-3.961,-0.728,-8.336,0.241,-5.737,-0.218,0.831,0.045
322,-4.207,-0.747,-8.222,0.143,-5.436,-0.2,0.776,0.027
323,-4.37,-0.761,-7.884,0.034,-5.153,-0.187,0.728,0.006
324,-4.454,-0.777,-7.282,-0.078,-4.898,-0.18,0.687,-0.015
325,-4.474,-0.806,-6.425,-0.187,-4.68,-0.177,0.656,-0.035
326,-4.451,-0.857,-5.379,-0.288,-4.5,-0.175,0.635,-0.053
327,-4.407,-0.938,-4.255,-0.375,-4.361,-0.172,0.622,-0.069
328,-4.363,-1.046,-3.192,-0.449,-4.259,-0.166,0.615,-0.083
329,-4.337,-1.174,-2.332,-0.511,-4.19,-0.156,0.612,-0.094
330,-4.339,-1.308,-1.787,-0.565,-4.149,-0.144,0.611,-0.104
331,-4.374,-1.431,-1.623,-0.614,-4.133,-0.132,0.61,-0.113
332,-4.437,-1.53,-1.846,-0.659,-4.139,-0.124,0.608,-0.122
333,-4.518,-1.595,-2.404,-0.701,-4.168,-0.12,0.607,-0.129
334,-4.603,-1.622,-3.197,-0.74,-4.221,-0.121,0.608,-0.137
335,-4.67,-1.613,-4.098,-0.772,-4.298,-0.128,0.612,-0.143
336,-4.698,-1.575,-4.976,-0.796,-4.402,-0.138,0.621,-0.148
337,-4.667,-1.518,-5.731,-0.811,-4.53,-0.151,0.636,-0.151
338,-4.563,-1.453,-6.307,-0.817,-4.681,-0.166,0.658,-0.152
339,-4.385,-1.391,-6.703,-0.817,-4.849,-0.181,0.684,-0.152
340,-4.143,-1.34,-6.962,-0.815,-5.026,-0.198,0.714,-0.152
341,-3.861,-1.301,-7.146,-0.815,-5.207,-0.215,0.746,-0.152
342,-3.566,-1.277,-7.31,-0.824,-5.384,-0.231,0.777,-0.153
343,-3.284,-1.264,-7.491,-0.844,-5.553,-0.246,0.807,-0.157
344,-3.035,-1.261,-7.707,-0.88,-5.711,-0.257,0.833,-0.164
345,-2.831,-1.267,-7.959,-0.932,-5.855,-0.264,0.858,-0.174
346,-2.675,-1.285,-8.25,-0.996,-5.986,-0.264,0.879,-0.186
