'sample interval','Fx','Fy','Fz','Mx','My','Mz','COPx','COPy'
0,-2.726,-1.014,-9.982,-0.01,-10.323,-0.291,1.671,-0.002
1,-2.549,-0.959,-11.213,-0.034,-10.415,-0.316,1.677,-0.006
2,-2.377,-0.916,-12.317,-0.061,-10.489,-0.341,1.68,-0.011
3,-2.217,-0.893,-13.179,-0.093,-10.531,-0.364,1.68,-0.018
4,-2.079,-0.892,-13.704,-0.131,-10.533,-0.384,1.675,-0.025
5,-1.972,-0.909,-13.834,-0.172,-10.492,-0.4,1.666,-0.032
6,-1.909,-0.935,-13.549,-0.214,-10.411,-0.413,1.653,-0.04
7,-1.9,-0.957,-12.882,-0.254,-10.295,-0.421,1.638,-0.048
8,-1.95,-0.968,-11.905,-0.295,-10.152,-0.426,1.621,-0.055
9,-2.063,-0.966,-10.72,-0.339,-9.987,-0.426,1.601,-0.064
10,-2.237,-0.953,-9.435,-0.39,-9.806,-0.424,1.58,-0.073
11,-2.467,-0.943,-8.143,-0.451,-9.614,-0.42,1.557,-0.084
12,-2.741,-0.953,-6.919,-0.523,-9.416,-0.413,1.532,-0.097
13,-3.045,-0.997,-5.806,-0.606,-9.217,-0.404,1.506,-0.113
14,-3.359,-1.087,-4.822,-0.699,-9.025,-0.393,1.48,-0.13
15,-3.658,-1.22,-3.962,-0.798,-8.846,-0.38,1.455,-0.148
16,-3.919,-1.386,-3.209,-0.9,-8.688,-0.365,1.433,-0.166
17,-4.125,-1.565,-2.544,-1,-8.557,-0.348,1.416,-0.185
18,-4.269,-1.737,-1.956,-1.092,-8.46,-0.329,1.404,-0.201
19,-4.357,-1.884,-1.459,-1.173,-8.399,-0.308,1.397,-0.216
20,-4.407,-1.993,-1.093,-1.24,-8.376,-0.287,1.397,-0.228
21,-4.434,-2.06,-0.922,-1.293,-8.39,-0.266,1.401,-0.238
22,-4.449,-2.082,-1.013,-1.333,-8.44,-0.249,1.41,-0.245
23,-4.453,-2.064,-1.425,-1.365,-8.521,-0.237,1.42,-0.251
24,-4.433,-2.011,-2.178,-1.391,-8.627,-0.232,1.432,-0.257
25,-4.373,-1.934,-3.249,-1.413,-8.749,-0.234,1.444,-0.261
26,-4.262,-1.845,-4.567,-1.433,-8.88,-0.24,1.456,-0.266
27,-4.101,-1.758,-6.029,-1.45,-9.013,-0.249,1.466,-0.27
28,-3.903,-1.691,-7.516,-1.465,-9.14,-0.257,1.475,-0.273
29,-3.693,-1.656,-8.911,-1.476,-9.258,-0.263,1.483,-0.276
30,-3.496,-1.661,-10.114,-1.485,-9.362,-0.263,1.49,-0.278
31,-3.334,-1.706,-11.041,-1.491,-9.448,-0.259,1.497,-0.28
32,-3.217,-1.78,-11.627,-1.492,-9.516,-0.253,1.504,-0.28
33,-3.146,-1.865,-11.828,-1.487,-9.566,-0.247,1.511,-0.279
34,-3.114,-1.942,-11.633,-1.475,-9.597,-0.244,1.519,-0.277
35,-3.109,-1.991,-11.063,-1.454,-9.612,-0.246,1.528,-0.273
36,-3.12,-2.001,-10.181,-1.424,-9.614,-0.253,1.537,-0.267
37,-3.139,-1.969,-9.082,-1.385,-9.603,-0.263,1.545,-0.259
38,-3.161,-1.901,-7.875,-1.34,-9.581,-0.272,1.553,-0.25
39,-3.183,-1.809,-6.671,-1.29,-9.548,-0.279,1.559,-0.24
