'sample interval','Fx','Fy','Fz','Mx','My','Mz','COPx','COPy'
1716,2.377,-0.22,0.095,1.646,-1.318,0.182,0.251,0.306
1717,2.347,-0.224,0.043,1.642,-1.317,0.183,0.25,0.306
1718,2.308,-0.232,0.003,1.632,-1.31,0.182,0.248,0.304
1719,2.264,-0.241,0.003,1.617,-1.301,0.182,0.246,0.301
1720,2.219,-0.249,0.057,1.595,-1.295,0.181,0.246,0.297
1721,2.177,-0.253,0.155,1.571,-1.298,0.18,0.248,0.292
1722,2.143,-0.251,0.268,1.548,-1.315,0.179,0.253,0.288
1723,2.125,-0.244,0.351,1.529,-1.348,0.179,0.26,0.284
1724,2.125,-0.233,0.36,1.518,-1.397,0.18,0.269,0.282
1725,2.149,-0.22,0.26,1.515,-1.461,0.181,0.28,0.282
1726,2.195,-0.207,0.043,1.519,-1.536,0.18,0.29,0.283
1727,2.26,-0.197,-0.27,1.528,-1.618,0.177,0.301,0.285
1728,2.334,-0.19,-0.627,1.539,-1.703,0.171,0.311,0.288
1729,2.405,-0.187,-0.952,1.55,-1.784,0.162,0.322,0.291
1730,2.462,-0.188,-1.169,1.556,-1.857,0.151,0.332,0.292
1731,2.496,-0.191,-1.216,1.556,-1.916,0.141,0.342,0.293
1732,2.505,-0.194,-1.072,1.553,-1.96,0.132,0.352,0.292
1733,2.494,-0.194,-0.761,1.547,-1.988,0.126,0.362,0.29
1734,2.474,-0.189,-0.351,1.541,-2.003,0.124,0.371,0.288
1735,2.462,-0.178,0.067,1.535,-2.013,0.123,0.379,0.286
1736,2.469,-0.16,0.408,1.531,-2.022,0.123,0.386,0.284
1737,2.503,-0.137,0.615,1.527,-2.038,0.123,0.392,0.283
1738,2.562,-0.112,0.675,1.522,-2.062,0.123,0.397,0.282
1739,2.633,-0.086,0.604,1.516,-2.094,0.124,0.402,0.281
1740,2.704,-0.065,0.442,1.512,-2.132,0.125,0.407,0.281
1741,2.76,-0.051,0.228,1.509,-2.171,0.127,0.411,0.281
1742,2.794,-0.045,-0.008,1.509,-2.206,0.13,0.414,0.281
1743,2.805,-0.047,-0.245,1.513,-2.233,0.134,0.415,0.282
1744,2.8,-0.054,-0.471,1.517,-2.248,0.138,0.415,0.284
1745,2.784,-0.061,-0.669,1.521,-2.249,0.141,0.412,0.285
1746,2.766,-0.065,-0.816,1.521,-2.239,0.144,0.408,0.285
1747,2.748,-0.062,-0.889,1.516,-2.217,0.145,0.403,0.284
1748,2.734,-0.054,-0.871,1.505,-2.185,0.147,0.397,0.282
1749,2.723,-0.045,-0.766,1.488,-2.147,0.148,0.392,0.279
1750,2.712,-0.037,-0.602,1.468,-2.105,0.151,0.386,0.275
1751,2.694,-0.036,-0.423,1.448,-2.061,0.154,0.381,0.271
1752,2.665,-0.043,-0.273,1.432,-2.022,0.158,0.376,0.267
1753,2.619,-0.061,-0.187,1.421,-1.99,0.162,0.371,0.265
1754,2.554,-0.088,-0.177,1.414,-1.968,0.166,0.367,0.264
1755,2.47,-0.12,-0.238,1.411,-1.956,0.169,0.364,0.263
1756,2.375,-0.153,-0.349,1.408,-1.949,0.169,0.361,0.263
1757,2.277,-0.182,-0.482,1.405,-1.941,0.165,0.358,0.263
1758,2.184,-0.201,-0.609,1.401,-1.929,0.158,0.354,0.262
1759,2.106,-0.212,-0.706,1.399,-1.907,0.149,0.348,0.262
1760,2.045,-0.212,-0.752,1.397,-1.877,0.141,0.342,0.262
1761,2.004,-0.206,-0.742,1.395,-1.841,0.133,0.335,0.262
1762,1.98,-0.194,-0.676,1.393,-1.806,0.129,0.33,0.261
1763,1.966,-0.179,-0.566,1.388,-1.778,0.128,0.326,0.26
1764,1.957,-0.164,-0.43,1.382,-1.764,0.129,0.326,0.259
1765,1.953,-0.15,-0.287,1.377,-1.766,0.13,0.328,0.257
1766,1.956,-0.139,-0.152,1.376,-1.783,0.13,0.333,0.257
1767,1.972,-0.131,-0.039,1.38,-1.816,0.127,0.341,0.257
1768,2.009,-0.127,0.045,1.389,-1.858,0.121,0.35,0.259
1769,2.068,-0.127,0.092,1.401,-1.909,0.114,0.36,0.261
1770,2.147,-0.132,0.1,1.414,-1.964,0.108,0.371,0.263
1771,2.239,-0.138,0.065,1.424,-2.02,0.105,0.381,0.265
1772,2.332,-0.143,-0.014,1.43,-2.075,0.104,0.39,0.267
1773,2.417,-0.144,-0.129,1.432,-2.125,0.106,0.397,0.267
1774,2.486,-0.139,-0.267,1.428,-2.169,0.109,0.403,0.267
1775,2.537,-0.13,-0.404,1.421,-2.205,0.112,0.408,0.266
1776,2.57,-0.12,-0.509,1.413,-2.232,0.114,0.411,0.264
1777,2.589,-0.112,-0.554,1.404,-2.251,0.114,0.414,0.263
1778,2.598,-0.11,-0.522,1.397,-2.266,0.115,0.417,0.261
1779,2.602,-0.115,-0.414,1.394,-2.278,0.117,0.421,0.261
1780,2.609,-0.126,-0.254,1.393,-2.291,0.121,0.426,0.26
1781,2.621,-0.14,-0.083,1.396,-2.307,0.127,0.432,0.26
1782,2.642,-0.153,0.05,1.399,-2.327,0.135,0.437,0.261
1783,2.673,-0.161,0.11,1.402,-2.351,0.144,0.443,0.261
1784,2.709,-0.163,0.081,1.403,-2.378,0.151,0.447,0.261
1785,2.747,-0.16,-0.019,1.4,-2.405,0.155,0.451,0.261
1786,2.781,-0.155,-0.154,1.393,-2.43,0.157,0.453,0.26
1787,2.807,-0.155,-0.275,1.384,-2.45,0.154,0.455,0.258
1788,2.82,-0.161,-0.345,1.374,-2.464,0.148,0.457,0.257
1789,2.821,-0.175,-0.344,1.363,-2.47,0.14,0.458,0.255
1790,2.809,-0.193,-0.282,1.355,-2.469,0.131,0.459,0.253
1791,2.786,-0.21,-0.185,1.348,-2.461,0.123,0.459,0.252
1792,2.753,-0.221,-0.091,1.342,-2.446,0.117,0.457,0.25
1793,2.711,-0.223,-0.028,1.337,-2.425,0.115,0.454,0.249
1794,2.664,-0.218,-0.013,1.332,-2.401,0.115,0.45,0.248
1795,2.614,-0.212,-0.047,1.326,-2.373,0.119,0.445,0.247
1796,2.562,-0.209,-0.118,1.318,-2.346,0.126,0.438,0.246
1797,2.509,-0.215,-0.21,1.309,-2.32,0.134,0.432,0.245
1798,2.457,-0.232,-0.303,1.301,-2.298,0.143,0.427,0.243
1799,2.405,-0.259,-0.379,1.293,-2.279,0.151,0.422,0.242
1800,2.354,-0.289,-0.418,1.287,-2.262,0.157,0.418,0.241
1801,2.308,-0.315,-0.403,1.285,-2.245,0.16,0.415,0.24
1802,2.27,-0.331,-0.322,1.287,-2.225,0.16,0.413,0.241
1803,2.247,-0.333,-0.18,1.292,-2.201,0.158,0.411,0.241
1804,2.24,-0.321,0.002,1.302,-2.174,0.155,0.408,0.243
1805,2.252,-0.297,0.188,1.314,-2.147,0.152,0.406,0.245
1806,2.278,-0.265,0.333,1.329,-2.123,0.15,0.404,0.247
1807,2.311,-0.229,0.395,1.346,-2.11,0.151,0.402,0.25
1808,2.344,-0.192,0.346,1.363,-2.112,0.153,0.402,0.253
1809,2.369,-0.159,0.182,1.377,-2.133,0.156,0.403,0.256
1810,2.386,-0.132,-0.076,1.388,-2.174,0.157,0.407,0.259
1811,2.397,-0.111,-0.387,1.396,-2.231,0.156,0.413,0.261
1812,2.408,-0.095,-0.7,1.402,-2.299,0.151,0.421,0.263
1813,2.424,-0.082,-0.967,1.407,-2.369,0.144,0.43,0.264
1814,2.451,-0.069,-1.156,1.414,-2.434,0.136,0.439,0.266
1815,2.488,-0.056,-1.25,1.423,-2.486,0.129,0.448,0.268
1816,2.53,-0.042,-1.252,1.435,-2.522,0.124,0.454,0.27
1817,2.568,-0.031,-1.177,1.448,-2.541,0.121,0.459,0.272
1818,2.594,-0.026,-1.048,1.46,-2.544,0.12,0.461,0.274
1819,2.604,-0.031,-0.886,1.472,-2.536,0.12,0.462,0.276
1820,2.601,-0.045,-0.711,1.481,-2.524,0.122,0.463,0.278
1821,2.591,-0.067,-0.535,1.488,-2.512,0.123,0.463,0.278
1822,2.584,-0.091,-0.371,1.49,-2.509,0.125,0.465,0.278
1823,2.59,-0.112,-0.229,1.489,-2.516,0.127,0.468,0.278
1824,2.617,-0.126,-0.122,1.486,-2.537,0.128,0.474,0.277
1825,2.663,-0.131,-0.065,1.482,-2.571,0.13,0.481,0.276
1826,2.724,-0.129,-0.065,1.48,-2.612,0.131,0.489,0.276
1827,2.79,-0.122,-0.122,1.482,-2.654,0.13,0.495,0.276
1828,2.849,-0.113,-0.223,1.488,-2.689,0.127,0.501,0.278
1829,2.891,-0.106,-0.34,1.497,-2.713,0.123,0.503,0.28
1830,2.91,-0.1,-0.442,1.508,-2.723,0.119,0.504,0.282
1831,2.905,-0.096,-0.497,1.519,-2.72,0.115,0.502,0.284
1832,2.881,-0.09,-0.493,1.529,-2.712,0.111,0.501,0.286
1833,2.849,-0.078,-0.438,1.535,-2.703,0.108,0.5,0.287
1834,2.818,-0.057,-0.357,1.539,-2.701,0.104,0.501,0.287
1835,2.801,-0.024,-0.286,1.54,-2.711,0.099,0.504,0.288
1836,2.804,0.015,-0.25,1.541,-2.733,0.092,0.508,0.288
1837,2.832,0.053,-0.256,1.541,-2.766,0.084,0.514,0.288
1838,2.88,0.08,-0.291,1.543,-2.804,0.076,0.521,0.288
1839,2.94,0.091,-0.33,1.548,-2.841,0.07,0.527,0.289
1840,3.003,0.084,-0.35,1.556,-2.872,0.067,0.533,0.291
1841,3.058,0.062,-0.339,1.568,-2.893,0.067,0.537,0.293
1842,3.098,0.034,-0.304,1.582,-2.902,0.07,0.539,0.295
1843,3.12,0.01,-0.265,1.595,-2.902,0.075,0.54,0.298
1844,3.126,-0.005,-0.251,1.604,-2.897,0.081,0.539,0.299
1845,3.121,-0.004,-0.281,1.606,-2.889,0.086,0.537,0.3
1846,3.116,0.014,-0.357,1.601,-2.882,0.089,0.534,0.299
1847,3.116,0.044,-0.46,1.588,-2.875,0.091,0.532,0.297
1848,3.124,0.083,-0.552,1.571,-2.87,0.091,0.529,0.294
1849,3.138,0.121,-0.595,1.554,-2.862,0.091,0.527,0.291
1850,3.153,0.153,-0.565,1.542,-2.851,0.092,0.526,0.288
1851,3.164,0.172,-0.46,1.536,-2.834,0.094,0.524,0.287
1852,3.168,0.179,-0.305,1.537,-2.812,0.098,0.522,0.287
1853,3.164,0.177,-0.139,1.543,-2.786,0.102,0.52,0.288
1854,3.156,0.17,-0.007,1.551,-2.759,0.106,0.517,0.289
1855,3.147,0.164,0.056,1.557,-2.733,0.109,0.513,0.29
1856,3.142,0.159,0.037,1.561,-2.712,0.11,0.509,0.291
1857,3.143,0.155,-0.056,1.561,-2.695,0.112,0.504,0.291
1858,3.15,0.146,-0.191,1.556,-2.682,0.114,0.5,0.29
1859,3.158,0.127,-0.327,1.548,-2.669,0.117,0.495,0.289
1860,3.162,0.098,-0.427,1.537,-2.654,0.121,0.491,0.287
1861,3.162,0.061,-0.466,1.523,-2.634,0.125,0.487,0.285
1862,3.158,0.026,-0.447,1.508,-2.608,0.128,0.482,0.282
1863,3.151,-0.002,-0.388,1.493,-2.575,0.127,0.477,0.279
1864,3.146,-0.016,-0.319,1.479,-2.537,0.124,0.471,0.276
1865,3.143,-0.017,-0.27,1.467,-2.497,0.117,0.464,0.274
1866,3.143,-0.009,-0.257,1.456,-2.454,0.109,0.456,0.272
1867,3.148,-0.001,-0.285,1.445,-2.41,0.101,0.448,0.27
1868,3.157,0.001,-0.343,1.43,-2.364,0.095,0.438,0.267
1869,3.168,-0.007,-0.417,1.412,-2.315,0.092,0.428,0.264
1870,3.18,-0.023,-0.488,1.391,-2.263,0.093,0.418,0.26
1871,3.189,-0.045,-0.54,1.369,-2.209,0.098,0.407,0.256
1872,3.192,-0.069,-0.562,1.347,-2.152,0.106,0.396,0.252
1873,3.183,-0.091,-0.546,1.328,-2.093,0.115,0.385,0.249
1874,3.158,-0.113,-0.489,1.313,-2.031,0.124,0.374,0.246
1875,3.112,-0.134,-0.397,1.299,-1.964,0.131,0.363,0.243
1876,3.045,-0.154,-0.279,1.286,-1.888,0.137,0.351,0.24
1877,2.96,-0.171,-0.157,1.272,-1.802,0.141,0.337,0.237
1878,2.862,-0.185,-0.057,1.254,-1.705,0.144,0.32,0.234
1879,2.761,-0.194,-0.007,1.234,-1.6,0.147,0.301,0.23
1880,2.662,-0.2,-0.026,1.213,-1.49,0.15,0.281,0.226
1881,2.571,-0.205,-0.119,1.194,-1.381,0.151,0.259,0.223
1882,2.486,-0.213,-0.268,1.178,-1.276,0.152,0.237,0.22
1883,2.405,-0.227,-0.43,1.167,-1.176,0.152,0.216,0.219
1884,2.327,-0.252,-0.552,1.16,-1.079,0.153,0.196,0.217
1885,2.25,-0.286,-0.586,1.154,-0.983,0.155,0.178,0.216
1886,2.172,-0.326,-0.507,1.147,-0.884,0.158,0.161,0.215
1887,2.097,-0.364,-0.321,1.137,-0.782,0.162,0.145,0.213
1888,2.03,-0.392,-0.066,1.122,-0.676,0.166,0.129,0.209
1889,1.974,-0.404,0.194,1.104,-0.572,0.169,0.114,0.206
1890,1.936,-0.397,0.393,1.083,-0.473,0.171,0.098,0.201
1891,1.914,-0.372,0.47,1.062,-0.383,0.171,0.083,0.197
1892,1.908,-0.335,0.391,1.042,-0.306,0.17,0.067,0.194
1893,1.909,-0.292,0.156,1.026,-0.242,0.167,0.052,0.191
1894,1.909,-0.25,-0.203,1.014,-0.187,0.165,0.036,0.19
1895,1.897,-0.215,-0.626,1.008,-0.14,0.162,0.021,0.189
1896,1.867,-0.19,-1.04,1.006,-0.096,0.16,0.006,0.19
1897,1.815,-0.177,-1.38,1.008,-0.053,0.158,-0.007,0.191
1898,1.746,-0.175,-1.598,1.011,-0.009,0.158,-0.019,0.192
1899,1.668,-0.184,-1.674,1.014,0.037,0.158,-0.029,0.192
1900,1.597,-0.201,-1.609,1.015,0.082,0.161,-0.036,0.192
1901,1.545,-0.225,-1.425,1.013,0.126,0.165,-0.041,0.192
1902,1.522,-0.253,-1.158,1.011,0.169,0.172,-0.045,0.191
1903,1.53,-0.281,-0.85,1.009,0.21,0.18,-0.048,0.19
1904,1.564,-0.307,-0.543,1.009,0.251,0.188,-0.051,0.189
1905,1.613,-0.326,-0.273,1.015,0.292,0.197,-0.054,0.19
1906,1.665,-0.337,-0.067,1.027,0.333,0.206,-0.058,0.192
1907,1.709,-0.336,0.055,1.045,0.37,0.214,-0.063,0.195
1908,1.738,-0.324,0.081,1.066,0.4,0.223,-0.069,0.199
1909,1.753,-0.302,0.005,1.089,0.421,0.232,-0.074,0.203
1910,1.758,-0.273,-0.164,1.11,0.433,0.24,-0.079,0.207
1911,1.759,-0.243,-0.403,1.128,0.436,0.246,-0.083,0.211
1912,1.762,-0.216,-0.669,1.142,0.436,0.25,-0.087,0.214
1913,1.773,-0.195,-0.912,1.151,0.437,0.252,-0.091,0.216
1914,1.793,-0.181,-1.079,1.156,0.443,0.253,-0.095,0.218
1915,1.819,-0.174,-1.136,1.157,0.459,0.254,-0.099,0.218
1916,1.847,-0.172,-1.068,1.153,0.484,0.255,-0.102,0.217
1917,1.873,-0.177,-0.891,1.145,0.519,0.256,-0.106,0.215
1918,1.894,-0.186,-0.646,1.134,0.558,0.256,-0.109,0.213
1919,1.911,-0.2,-0.393,1.122,0.598,0.256,-0.113,0.21
1920,1.927,-0.217,-0.193,1.112,0.634,0.253,-0.116,0.208
1921,1.945,-0.233,-0.094,1.108,0.663,0.249,-0.12,0.207
1922,1.966,-0.246,-0.12,1.109,0.685,0.243,-0.125,0.207
1923,1.988,-0.252,-0.264,1.117,0.7,0.237,-0.13,0.209
1924,2.005,-0.246,-0.498,1.128,0.711,0.231,-0.135,0.211
1925,2.005,-0.228,-0.779,1.14,0.721,0.226,-0.142,0.214
1926,1.977,-0.197,-1.053,1.15,0.735,0.222,-0.149,0.217
1927,1.915,-0.16,-1.266,1.158,0.755,0.217,-0.156,0.218
1928,1.824,-0.122,-1.372,1.163,0.782,0.213,-0.163,0.22
1929,1.716,-0.093,-1.345,1.168,0.814,0.208,-0.168,0.22
1930,1.611,-0.08,-1.19,1.172,0.851,0.202,-0.173,0.221
1931,1.529,-0.085,-0.943,1.175,0.888,0.196,-0.176,0.221
1932,1.481,-0.107,-0.666,1.177,0.923,0.188,-0.178,0.221
1933,1.47,-0.141,-0.424,1.177,0.952,0.18,-0.179,0.22
1934,1.49,-0.179,-0.268,1.175,0.973,0.172,-0.181,0.22
1935,1.529,-0.209,-0.222,1.171,0.986,0.163,-0.182,0.219
1936,1.576,-0.226,-0.282,1.165,0.993,0.154,-0.185,0.218
1937,1.618,-0.224,-0.42,1.157,0.996,0.146,-0.187,0.217
1938,1.648,-0.205,-0.601,1.149,0.997,0.141,-0.19,0.215
1939,1.665,-0.17,-0.793,1.141,0.999,0.137,-0.194,0.214
1940,1.672,-0.128,-0.971,1.136,1.001,0.136,-0.197,0.214
1941,1.677,-0.087,-1.117,1.133,1.004,0.137,-0.2,0.214
1942,1.684,-0.055,-1.211,1.134,1.004,0.139,-0.201,0.214
1943,1.698,-0.039,-1.235,1.138,1.002,0.141,-0.201,0.215
1944,1.715,-0.042,-1.17,1.144,0.996,0.142,-0.199,0.216
1945,1.731,-0.061,-1.012,1.148,0.989,0.141,-0.195,0.216
1946,1.738,-0.088,-0.78,1.15,0.982,0.139,-0.191,0.216
1947,1.733,-0.114,-0.514,1.148,0.978,0.135,-0.186,0.215
1948,1.713,-0.13,-0.267,1.143,0.978,0.132,-0.182,0.214
1949,1.682,-0.135,-0.088,1.136,0.98,0.13,-0.179,0.212
1950,1.649,-0.129,-0.01,1.129,0.98,0.131,-0.178,0.211
1951,1.624,-0.121,-0.041,1.125,0.975,0.135,-0.177,0.21
1952,1.618,-0.118,-0.166,1.127,0.961,0.143,-0.177,0.211
1953,1.639,-0.126,-0.357,1.137,0.937,0.152,-0.175,0.213
1954,1.69,-0.147,-0.576,1.154,0.904,0.162,-0.173,0.216
1955,1.766,-0.175,-0.781,1.177,0.868,0.171,-0.169,0.221
1956,1.856,-0.202,-0.935,1.202,0.831,0.176,-0.165,0.226
1957,1.945,-0.219,-1.015,1.226,0.796,0.178,-0.16,0.231
1958,2.022,-0.221,-1.011,1.245,0.767,0.177,-0.154,0.234
1959,2.078,-0.208,-0.937,1.258,0.743,0.175,-0.148,0.236
1960,2.11,-0.184,-0.824,1.265,0.723,0.173,-0.143,0.237
1961,2.121,-0.159,-0.712,1.267,0.707,0.173,-0.138,0.238
1962,2.117,-0.139,-0.641,1.266,0.691,0.175,-0.134,0.237
1963,2.106,-0.128,-0.637,1.263,0.674,0.178,-0.131,0.237
1964,2.093,-0.125,-0.702,1.259,0.659,0.182,-0.129,0.236
1965,2.084,-0.126,-0.813,1.254,0.648,0.185,-0.129,0.235
1966,2.081,-0.126,-0.924,1.25,0.646,0.187,-0.13,0.235
1967,2.082,-0.122,-0.981,1.246,0.657,0.187,-0.133,0.234
1968,2.081,-0.113,-0.941,1.244,0.685,0.186,-0.138,0.234
1969,2.071,-0.105,-0.793,1.242,0.728,0.185,-0.143,0.233
1970,2.045,-0.1,-0.561,1.238,0.78,0.185,-0.149,0.232
1971,1.997,-0.102,-0.303,1.233,0.834,0.185,-0.155,0.23
1972,1.929,-0.111,-0.096,1.224,0.88,0.186,-0.161,0.228
1973,1.843,-0.123,-0.011,1.213,0.912,0.187,-0.165,0.226
1974,1.746,-0.135,-0.087,1.201,0.925,0.188,-0.169,0.224
1975,1.648,-0.146,-0.321,1.191,0.918,0.187,-0.171,0.223
1976,1.559,-0.152,-0.668,1.184,0.896,0.186,-0.173,0.222
1977,1.491,-0.151,-1.06,1.182,0.864,0.184,-0.173,0.222
1978,1.452,-0.143,-1.424,1.184,0.831,0.182,-0.173,0.224
1979,1.446,-0.127,-1.705,1.188,0.805,0.18,-0.172,0.225
1980,1.469,-0.104,-1.87,1.192,0.792,0.18,-0.173,0.226
1981,1.511,-0.078,-1.914,1.194,0.797,0.181,-0.174,0.226
1982,1.557,-0.053,-1.848,1.195,0.816,0.183,-0.176,0.226
1983,1.591,-0.035,-1.69,1.194,0.844,0.186,-0.179,0.226
1984,1.604,-0.028,-1.461,1.192,0.875,0.189,-0.181,0.225
1985,1.593,-0.036,-1.182,1.191,0.9,0.192,-0.182,0.224
1986,1.563,-0.056,-0.883,1.19,0.915,0.195,-0.18,0.224
1987,1.521,-0.082,-0.598,1.19,0.915,0.198,-0.175,0.223
1988,1.479,-0.108,-0.365,1.19,0.9,0.201,-0.169,0.223
1989,1.445,-0.126,-0.217,1.191,0.87,0.204,-0.161,0.223
1990,1.43,-0.129,-0.168,1.193,0.829,0.208,-0.152,0.223
1991,1.441,-0.115,-0.213,1.196,0.776,0.212,-0.143,0.224
1992,1.485,-0.082,-0.32,1.2,0.714,0.215,-0.133,0.224
1993,1.562,-0.036,-0.447,1.204,0.643,0.218,-0.122,0.225
1994,1.666,0.016,-0.549,1.209,0.564,0.219,-0.109,0.226
1995,1.783,0.062,-0.597,1.216,0.479,0.217,-0.094,0.228
1996,1.899,0.094,-0.582,1.226,0.387,0.213,-0.077,0.23
1997,2.002,0.107,-0.515,1.239,0.292,0.206,-0.058,0.232
1998,2.087,0.101,-0.416,1.253,0.194,0.198,-0.038,0.234
1999,2.154,0.082,-0.311,1.267,0.095,0.191,-0.018,0.237
2000,2.211,0.059,-0.228,1.281,-0.003,0.186,0.001,0.239
2001,2.266,0.04,-0.192,1.293,-0.1,0.182,0.02,0.241
2002,2.325,0.03,-0.222,1.303,-0.197,0.179,0.038,0.243
2003,2.392,0.03,-0.326,1.313,-0.296,0.176,0.054,0.245
2004,2.465,0.042,-0.495,1.323,-0.396,0.171,0.07,0.248
2005,2.54,0.063,-0.705,1.336,-0.497,0.162,0.086,0.25
2006,2.613,0.093,-0.917,1.352,-0.597,0.15,0.101,0.254
2007,2.68,0.128,-1.089,1.37,-0.693,0.136,0.116,0.258
2008,2.738,0.162,-1.184,1.388,-0.782,0.121,0.131,0.261
2009,2.785,0.189,-1.184,1.403,-0.858,0.108,0.146,0.264
2010,2.821,0.2,-1.089,1.415,-0.919,0.097,0.158,0.266
2011,2.848,0.191,-0.919,1.421,-0.963,0.089,0.169,0.267
2012,2.868,0.16,-0.705,1.421,-0.99,0.084,0.178,0.266
2013,2.881,0.111,-0.481,1.418,-1.004,0.081,0.184,0.265
2014,2.887,0.057,-0.28,1.411,-1.011,0.079,0.188,0.264
2015,2.885,0.009,-0.122,1.404,-1.018,0.077,0.192,0.262
2016,2.873,-0.022,-0.022,1.398,-1.029,0.076,0.195,0.26
2017,2.853,-0.031,0.018,1.392,-1.049,0.074,0.199,0.259
2018,2.827,-0.02,0.003,1.388,-1.077,0.073,0.205,0.259
2019,2.801,0.002,-0.053,1.385,-1.114,0.072,0.211,0.258
2020,2.78,0.025,-0.135,1.382,-1.157,0.071,0.217,0.258
2021,2.77,0.043,-0.226,1.377,-1.202,0.07,0.224,0.257
2022,2.777,0.052,-0.314,1.37,-1.248,0.07,0.231,0.256
2023,2.801,0.051,-0.383,1.362,-1.291,0.069,0.238,0.255
2024,2.841,0.045,-0.425,1.356,-1.331,0.07,0.245,0.254
2025,2.891,0.035,-0.432,1.353,-1.366,0.072,0.252,0.253
2026,2.947,0.023,-0.411,1.354,-1.396,0.076,0.258,0.253
2027,3.006,0.012,-0.379,1.36,-1.423,0.08,0.263,0.254
2028,3.066,0.004,-0.362,1.368,-1.448,0.085,0.268,0.256
2029,3.124,-0.001,-0.384,1.374,-1.472,0.089,0.272,0.257
2030,3.176,-0.002,-0.452,1.376,-1.497,0.092,0.276,0.257
2031,3.22,0.002,-0.558,1.371,-1.522,0.094,0.279,0.257
2032,3.251,0.01,-0.678,1.359,-1.545,0.094,0.281,0.255
2033,3.265,0.019,-0.786,1.34,-1.564,0.093,0.283,0.251
2034,3.26,0.026,-0.857,1.317,-1.576,0.092,0.284,0.247
2035,3.233,0.028,-0.876,1.292,-1.577,0.092,0.284,0.243
2036,3.184,0.023,-0.835,1.269,-1.566,0.094,0.283,0.238
2037,3.115,0.012,-0.735,1.25,-1.542,0.099,0.28,0.235
2038,3.033,-0.003,-0.589,1.236,-1.507,0.106,0.275,0.232
2039,2.945,-0.018,-0.416,1.226,-1.466,0.116,0.27,0.229
2040,2.859,-0.031,-0.238,1.218,-1.422,0.127,0.265,0.228
2041,2.78,-0.043,-0.076,1.211,-1.38,0.14,0.26,0.226
2042,2.712,-0.052,0.055,1.204,-1.344,0.151,0.255,0.224
2043,2.657,-0.062,0.149,1.196,-1.316,0.16,0.251,0.223
2044,2.619,-0.072,0.206,1.187,-1.294,0.165,0.248,0.221
2045,2.598,-0.079,0.235,1.178,-1.274,0.167,0.245,0.219
2046,2.595,-0.081,0.244,1.168,-1.253,0.164,0.241,0.217
2047,2.607,-0.078,0.238,1.158,-1.227,0.161,0.236,0.215
2048,2.628,-0.069,0.218,1.147,-1.194,0.157,0.229,0.214
2049,2.647,-0.059,0.179,1.136,-1.154,0.154,0.221,0.212
2050,2.657,-0.051,0.118,1.125,-1.108,0.155,0.212,0.21
2051,2.649,-0.051,0.033,1.112,-1.061,0.158,0.202,0.207
2052,2.622,-0.06,-0.073,1.098,-1.015,0.164,0.192,0.205
2053,2.577,-0.077,-0.201,1.083,-0.972,0.17,0.182,0.202
2054,2.519,-0.099,-0.351,1.065,-0.934,0.175,0.173,0.199
2055,2.456,-0.12,-0.525,1.044,-0.9,0.178,0.164,0.196
2056,2.392,-0.139,-0.718,1.019,-0.868,0.177,0.155,0.191
2057,2.33,-0.152,-0.914,0.99,-0.834,0.174,0.145,0.187
2058,2.271,-0.163,-1.082,0.959,-0.796,0.169,0.136,0.181
2059,2.213,-0.173,-1.185,0.929,-0.752,0.166,0.126,0.176
2060,2.153,-0.186,-1.188,0.902,-0.7,0.166,0.116,0.171
2061,2.093,-0.203,-1.073,0.88,-0.644,0.171,0.107,0.166
2062,2.033,-0.225,-0.85,0.865,-0.588,0.181,0.1,0.163
2063,1.98,-0.249,-0.561,0.858,-0.539,0.193,0.096,0.161
2064,1.938,-0.273,-0.267,0.857,-0.505,0.203,0.094,0.161
2065,1.915,-0.293,-0.034,0.862,-0.49,0.208,0.095,0.161
2066,1.913,-0.308,0.089,0.871,-0.498,0.206,0.098,0.162
2067,1.934,-0.317,0.09,0.882,-0.529,0.197,0.104,0.165
2068,1.973,-0.322,-0.015,0.894,-0.579,0.183,0.112,0.167
2069,2.027,-0.324,-0.181,0.905,-0.644,0.167,0.121,0.169
2070,2.092,-0.322,-0.36,0.912,-0.717,0.153,0.132,0.171
2071,2.168,-0.314,-0.512,0.916,-0.793,0.145,0.144,0.172
2072,2.254,-0.296,-0.614,0.916,-0.868,0.143,0.156,0.172
2073,2.349,-0.265,-0.658,0.912,-0.944,0.145,0.17,0.171
2074,2.452,-0.221,-0.645,0.906,-1.023,0.15,0.185,0.17
2075,2.563,-0.17,-0.582,0.902,-1.106,0.153,0.201,0.169
2076,2.678,-0.119,-0.479,0.901,-1.195,0.151,0.219,0.169
2077,2.796,-0.073,-0.352,0.907,-1.289,0.143,0.238,0.17
2078,2.912,-0.039,-0.224,0.919,-1.385,0.131,0.258,0.172
2079,3.024,-0.019,-0.116,0.936,-1.477,0.115,0.277,0.175
2080,3.128,-0.012,-0.051,0.958,-1.563,0.1,0.294,0.179
2081,3.22,-0.015,-0.036,0.98,-1.639,0.088,0.308,0.183
2082,3.297,-0.022,-0.069,1.002,-1.704,0.08,0.32,0.187
2083,3.354,-0.028,-0.134,1.02,-1.757,0.077,0.329,0.191
2084,3.391,-0.026,-0.214,1.033,-1.796,0.079,0.335,0.193
2085,3.405,-0.016,-0.292,1.04,-1.822,0.084,0.338,0.195
