'sample interval','Fx','Fy','Fz','Mx','My','Mz','COPx','COPy'
86,2.655,-0.019,-0.051,1.337,-2.693,0.081,0.504,0.249
87,2.693,-0.006,-0.064,1.364,-2.704,0.077,0.506,0.254
88,2.734,0.001,-0.071,1.386,-2.712,0.075,0.507,0.258
89,2.771,-0.002,-0.081,1.401,-2.717,0.074,0.508,0.261
90,2.802,-0.013,-0.106,1.408,-2.722,0.075,0.508,0.263
91,2.824,-0.027,-0.153,1.411,-2.727,0.075,0.509,0.263
92,2.836,-0.037,-0.221,1.412,-2.733,0.075,0.509,0.264
93,2.84,-0.038,-0.299,1.414,-2.739,0.074,0.509,0.264
94,2.842,-0.027,-0.366,1.419,-2.742,0.073,0.508,0.265
95,2.846,-0.003,-0.399,1.428,-2.742,0.073,0.508,0.267
96,2.857,0.03,-0.387,1.439,-2.735,0.075,0.507,0.269
97,2.874,0.067,-0.33,1.451,-2.722,0.078,0.505,0.271
98,2.895,0.099,-0.248,1.462,-2.702,0.081,0.503,0.273
99,2.914,0.123,-0.17,1.468,-2.677,0.082,0.499,0.274
100,2.928,0.136,-0.124,1.469,-2.651,0.082,0.495,0.274
101,2.933,0.142,-0.13,1.465,-2.624,0.081,0.49,0.273
102,2.929,0.142,-0.188,1.459,-2.6,0.08,0.485,0.272
103,2.915,0.14,-0.284,1.452,-2.58,0.08,0.479,0.271
104,2.89,0.137,-0.391,1.447,-2.566,0.083,0.475,0.27
105,2.853,0.131,-0.48,1.446,-2.555,0.088,0.472,0.27
106,2.803,0.12,-0.529,1.448,-2.548,0.094,0.47,0.271
107,2.744,0.106,-0.527,1.452,-2.541,0.1,0.469,0.272
108,2.68,0.09,-0.481,1.455,-2.531,0.105,0.467,0.272
109,2.618,0.078,-0.407,1.454,-2.516,0.109,0.466,0.272
110,2.568,0.074,-0.327,1.448,-2.492,0.111,0.462,0.271
111,2.534,0.079,-0.257,1.437,-2.46,0.114,0.458,0.268
112,2.517,0.091,-0.203,1.422,-2.42,0.117,0.451,0.265
113,2.513,0.103,-0.159,1.407,-2.375,0.122,0.443,0.263
114,2.513,0.11,-0.113,1.395,-2.327,0.126,0.435,0.26
115,2.507,0.107,-0.06,1.388,-2.28,0.129,0.427,0.259
116,2.489,0.094,-0.001,1.387,-2.238,0.131,0.42,0.258
117,2.46,0.073,0.052,1.392,-2.202,0.131,0.414,0.259
118,2.425,0.048,0.091,1.402,-2.175,0.131,0.41,0.261
119,2.392,0.024,0.114,1.415,-2.157,0.131,0.407,0.263
120,2.369,0.003,0.132,1.428,-2.144,0.132,0.405,0.266
121,2.36,-0.014,0.157,1.438,-2.136,0.133,0.403,0.268
122,2.364,-0.03,0.198,1.44,-2.129,0.135,0.403,0.268
123,2.377,-0.044,0.253,1.435,-2.124,0.136,0.403,0.267
124,2.393,-0.053,0.308,1.422,-2.121,0.137,0.403,0.264
125,2.407,-0.057,0.339,1.406,-2.119,0.135,0.403,0.261
126,2.415,-0.05,0.321,1.391,-2.123,0.133,0.403,0.259
127,2.42,-0.033,0.234,1.383,-2.133,0.129,0.404,0.257
128,2.425,-0.007,0.075,1.385,-2.15,0.126,0.405,0.258
129,2.438,0.024,-0.147,1.396,-2.174,0.123,0.406,0.26
130,2.462,0.053,-0.409,1.414,-2.203,0.121,0.407,0.264
131,2.498,0.077,-0.684,1.436,-2.234,0.119,0.409,0.269
132,2.542,0.091,-0.943,1.457,-2.265,0.117,0.411,0.273
133,2.588,0.095,-1.154,1.473,-2.291,0.115,0.413,0.277
134,2.627,0.09,-1.283,1.482,-2.31,0.113,0.414,0.279
135,2.655,0.077,-1.304,1.484,-2.32,0.112,0.416,0.279
136,2.671,0.059,-1.201,1.48,-2.319,0.112,0.417,0.278
137,2.675,0.039,-0.979,1.472,-2.31,0.113,0.419,0.276
138,2.673,0.019,-0.664,1.463,-2.293,0.116,0.42,0.274
139,2.671,0.001,-0.302,1.456,-2.271,0.12,0.422,0.272
140,2.674,-0.012,0.047,1.454,-2.249,0.126,0.423,0.271
141,2.687,-0.017,0.324,1.458,-2.231,0.131,0.424,0.271
142,2.711,-0.01,0.485,1.469,-2.22,0.134,0.424,0.273
143,2.743,0.007,0.504,1.485,-2.218,0.136,0.424,0.276
144,2.78,0.032,0.387,1.504,-2.227,0.136,0.424,0.279
145,2.815,0.058,0.165,1.523,-2.244,0.135,0.424,0.283
146,2.844,0.078,-0.114,1.539,-2.266,0.133,0.424,0.287
147,2.862,0.087,-0.398,1.55,-2.29,0.132,0.424,0.29
148,2.867,0.082,-0.633,1.555,-2.309,0.131,0.424,0.291
149,2.86,0.068,-0.778,1.553,-2.319,0.129,0.424,0.291
150,2.844,0.048,-0.81,1.546,-2.319,0.128,0.423,0.29
151,2.824,0.028,-0.726,1.535,-2.308,0.125,0.422,0.287
152,2.806,0.014,-0.551,1.522,-2.288,0.12,0.421,0.285
153,2.796,0.008,-0.332,1.509,-2.263,0.115,0.42,0.282
154,2.799,0.009,-0.12,1.499,-2.235,0.108,0.418,0.28
155,2.816,0.018,0.037,1.494,-2.209,0.102,0.415,0.278
156,2.842,0.028,0.116,1.494,-2.185,0.098,0.412,0.278
157,2.871,0.037,0.116,1.499,-2.165,0.095,0.408,0.279
158,2.895,0.041,0.058,1.508,-2.147,0.094,0.404,0.281
159,2.908,0.036,-0.029,1.52,-2.132,0.093,0.4,0.283
160,2.908,0.026,-0.12,1.533,-2.119,0.093,0.396,0.286
161,2.896,0.014,-0.205,1.545,-2.106,0.09,0.393,0.288
162,2.877,0.007,-0.284,1.552,-2.092,0.085,0.389,0.29
163,2.856,0.008,-0.367,1.554,-2.076,0.076,0.384,0.29
164,2.84,0.021,-0.458,1.548,-2.056,0.065,0.379,0.289
165,2.836,0.043,-0.55,1.535,-2.032,0.052,0.374,0.287
166,2.845,0.069,-0.626,1.516,-2.001,0.039,0.367,0.284
167,2.865,0.09,-0.666,1.494,-1.963,0.03,0.359,0.28
168,2.891,0.1,-0.658,1.474,-1.919,0.026,0.351,0.276
169,2.913,0.093,-0.605,1.458,-1.868,0.027,0.342,0.273
170,2.921,0.067,-0.524,1.449,-1.813,0.033,0.333,0.271
171,2.911,0.028,-0.439,1.447,-1.755,0.042,0.324,0.271
172,2.88,-0.016,-0.371,1.449,-1.698,0.052,0.314,0.271
173,2.833,-0.053,-0.332,1.45,-1.643,0.06,0.305,0.271
174,2.778,-0.073,-0.322,1.447,-1.59,0.067,0.295,0.27
175,2.724,-0.073,-0.334,1.437,-1.538,0.073,0.285,0.268
176,2.678,-0.053,-0.356,1.418,-1.483,0.078,0.275,0.265
177,2.64,-0.021,-0.38,1.391,-1.422,0.084,0.263,0.26
178,2.608,0.011,-0.404,1.358,-1.351,0.092,0.249,0.254
179,2.572,0.035,-0.425,1.322,-1.267,0.103,0.233,0.247
180,2.521,0.042,-0.44,1.284,-1.17,0.116,0.215,0.24
181,2.449,0.031,-0.444,1.248,-1.063,0.132,0.195,0.234
182,2.353,0.002,-0.43,1.215,-0.949,0.151,0.174,0.227
183,2.242,-0.039,-0.396,1.188,-0.836,0.171,0.154,0.222
184,2.126,-0.088,-0.346,1.166,-0.729,0.19,0.135,0.218
185,2.021,-0.137,-0.29,1.15,-0.633,0.21,0.118,0.215
186,1.94,-0.182,-0.242,1.139,-0.551,0.226,0.103,0.213
187,1.889,-0.218,-0.214,1.131,-0.485,0.24,0.091,0.211
188,1.866,-0.241,-0.217,1.126,-0.435,0.249,0.082,0.21
189,1.867,-0.25,-0.257,1.12,-0.401,0.253,0.075,0.209
190,1.882,-0.244,-0.334,1.114,-0.379,0.253,0.07,0.208
191,1.904,-0.224,-0.439,1.106,-0.366,0.25,0.066,0.207
192,1.925,-0.192,-0.553,1.093,-0.359,0.244,0.063,0.205
193,1.944,-0.155,-0.65,1.077,-0.353,0.238,0.06,0.202
194,1.96,-0.12,-0.705,1.06,-0.345,0.233,0.058,0.199
195,1.975,-0.095,-0.705,1.043,-0.335,0.229,0.056,0.196
196,1.991,-0.085,-0.654,1.03,-0.321,0.226,0.054,0.193
197,2.009,-0.092,-0.574,1.022,-0.304,0.224,0.052,0.192
198,2.029,-0.11,-0.495,1.02,-0.286,0.221,0.05,0.191
199,2.046,-0.134,-0.445,1.02,-0.267,0.219,0.047,0.191
200,2.056,-0.152,-0.439,1.021,-0.247,0.218,0.043,0.191
201,2.056,-0.158,-0.475,1.02,-0.224,0.218,0.039,0.191
202,2.044,-0.149,-0.539,1.016,-0.197,0.221,0.033,0.191
203,2.018,-0.126,-0.613,1.008,-0.166,0.225,0.026,0.189
204,1.981,-0.1,-0.678,0.997,-0.131,0.232,0.018,0.187
205,1.939,-0.079,-0.72,0.986,-0.096,0.238,0.011,0.185
206,1.898,-0.072,-0.732,0.977,-0.061,0.244,0.004,0.184
207,1.865,-0.084,-0.712,0.974,-0.032,0.248,-0.001,0.183
208,1.845,-0.113,-0.661,0.978,-0.008,0.25,-0.005,0.184
209,1.839,-0.154,-0.579,0.988,0.011,0.25,-0.007,0.186
210,1.844,-0.2,-0.461,1.005,0.025,0.249,-0.007,0.188
211,1.853,-0.244,-0.303,1.023,0.038,0.248,-0.007,0.191
212,1.858,-0.278,-0.108,1.04,0.052,0.248,-0.007,0.194
213,1.856,-0.301,0.113,1.054,0.069,0.249,-0.007,0.196
214,1.843,-0.313,0.331,1.064,0.091,0.251,-0.007,0.198
215,1.824,-0.316,0.512,1.07,0.116,0.253,-0.009,0.199
216,1.806,-0.314,0.62,1.073,0.142,0.253,-0.012,0.199
217,1.792,-0.312,0.629,1.073,0.166,0.249,-0.017,0.199
218,1.787,-0.31,0.531,1.071,0.185,0.243,-0.022,0.199
219,1.788,-0.306,0.336,1.067,0.195,0.233,-0.027,0.198
220,1.789,-0.297,0.068,1.061,0.195,0.223,-0.031,0.198
221,1.784,-0.279,-0.238,1.052,0.187,0.212,-0.034,0.197
222,1.766,-0.254,-0.544,1.041,0.171,0.203,-0.036,0.195
223,1.735,-0.224,-0.813,1.029,0.152,0.196,-0.037,0.193
224,1.695,-0.197,-1.018,1.015,0.132,0.19,-0.036,0.191
225,1.652,-0.177,-1.144,1.002,0.115,0.185,-0.035,0.189
226,1.618,-0.17,-1.194,0.992,0.103,0.181,-0.033,0.187
227,1.598,-0.174,-1.184,0.984,0.1,0.177,-0.033,0.186
228,1.596,-0.186,-1.132,0.981,0.105,0.173,-0.033,0.185
229,1.611,-0.198,-1.06,0.982,0.115,0.168,-0.033,0.185
230,1.64,-0.205,-0.977,0.988,0.125,0.163,-0.034,0.186
231,1.678,-0.204,-0.884,0.999,0.13,0.158,-0.034,0.188
232,1.724,-0.193,-0.777,1.015,0.123,0.155,-0.031,0.191
233,1.776,-0.174,-0.65,1.036,0.1,0.152,-0.024,0.195
